num_qubits,num_res,num_rot,depth
4,2,2,6
6,2,3,11
8,2,4,15
10,2,5,20
12,2,6,25
14,2,7,30
16,2,8,35
18,2,9,40
6,3,2,6
9,3,3,11
12,3,4,15
15,3,5,20
18,3,6,25
21,3,7,30
24,3,8,35
27,3,9,40
8,4,2,6
12,4,3,11
16,4,4,15
20,4,5,20
24,4,6,25
28,4,7,30
32,4,8,35
36,4,9,40
10,5,2,6
15,5,3,11
20,5,4,15
25,5,5,20
30,5,6,25
35,5,7,30
40,5,8,35
45,5,9,40
12,6,2,6
18,6,3,11
24,6,4,15
30,6,5,20
36,6,6,25
42,6,7,30
48,6,8,35
54,6,9,40
14,7,2,6
21,7,3,11
28,7,4,15
35,7,5,20
42,7,6,25
49,7,7,30
56,7,8,35
63,7,9,40
16,8,2,6
24,8,3,11
32,8,4,15
40,8,5,20
48,8,6,25
56,8,7,30
64,8,8,35
72,8,9,40
18,9,2,6
27,9,3,11
36,9,4,15
45,9,5,20
54,9,6,25
63,9,7,30
72,9,8,35
81,9,9,40
20,10,2,6
30,10,3,11
40,10,4,15
50,10,5,20
60,10,6,25
70,10,7,30
80,10,8,35
90,10,9,40
22,11,2,6
33,11,3,11
44,11,4,15
55,11,5,20
66,11,6,25
77,11,7,30
88,11,8,35
99,11,9,40
24,12,2,6
36,12,3,11
48,12,4,15
60,12,5,20
72,12,6,25
84,12,7,30
96,12,8,35
108,12,9,40
26,13,2,6
39,13,3,11
52,13,4,15
65,13,5,20
78,13,6,25
91,13,7,30
104,13,8,35
117,13,9,40
28,14,2,6
42,14,3,11
56,14,4,15
70,14,5,20
84,14,6,25
98,14,7,30
112,14,8,35
126,14,9,40
30,15,2,6
45,15,3,11
60,15,4,15
75,15,5,20
90,15,6,25
105,15,7,30
120,15,8,35
135,15,9,40
32,16,2,6
48,16,3,11
64,16,4,15
80,16,5,20
96,16,6,25
112,16,7,30
128,16,8,35
144,16,9,40
34,17,2,6
51,17,3,11
68,17,4,15
85,17,5,20
102,17,6,25
119,17,7,30
136,17,8,35
153,17,9,40
36,18,2,6
54,18,3,11
72,18,4,15
90,18,5,20
108,18,6,25
126,18,7,30
144,18,8,35
162,18,9,40
38,19,2,6
57,19,3,11
76,19,4,15
95,19,5,20
114,19,6,25
133,19,7,30
152,19,8,35
171,19,9,40
40,20,2,6
60,20,3,11
80,20,4,15
100,20,5,20
120,20,6,25
140,20,7,30
160,20,8,35
180,20,9,40
42,21,2,6
63,21,3,11
84,21,4,15
105,21,5,20
126,21,6,25
147,21,7,30
168,21,8,35
189,21,9,40
